"reviewerID"^"productID"^"positiveVotes"^"negativeVotes"^"reviewText"^"ratingGiven"^"reviewTime"
chart22312, ^1161265^11^1^"I was searching for a long time to find books that would interest my boys this did the trick. My son read the entire series ( four books ) in three days. I was so impressed how interested he was with the stories ( they held his attention for an 8 year old). Very happy with the price as well."^5^June 11, 2009
germanmomoftwo, ^1161265^8^0^"I am a huge fan of this series. My daughter can read most of the words (she is 7). These books always provide some educational info that teaches kids about certain parts of history."^5^March 10, 2010
GrammaBT, ^1161265^7^0^"My granddaughter was thrilled when she opened the books. She has been reading just about non-stop. The books are very entertaining."^5^July 14, 2009
JDing, ^1161265^5^0^"My 5 year-old daughter loves them. They are interesting and educational. Great books!"^5^February 2, 2011
XcelShopper, ^1161265^5^0^"My 3rd grader loved this series when she started reading chapter books so I decided to buy it for my niece. The kids get hooked on the stories because its well written & easy to follow. I just wish walmart.com offered the later series in box sets too."^5^January 7, 2009
katy2014, ^1161265^3^0^"I bought for my classroom. Loved these stories. Each book takes you on a journey to different and exciting places. They offer experiences that you seldom experience in real life.

These are very well developed stories. Most. If not all of the books are Accelerated Reader , AR rated. Range from 2.0 to 6.0.

Reading to, and with,or listening to your child reading 30 minutes a day will help your child to advance in the classroom more quickly than any other thing that you do for them. Begin 2nd grade abt 30 min. A day.

Start at 1 yr old for 10 min. LET THEM choose from books that you have selected.. Ask them to tell you what happened in the book in their own words after reading. Or what happened first,second , next and last, for older kids."^5^December 1, 2014
GoodGriefPeople, ^1161265^1^0^"Grandson's teacher is reading these books to his class, he wants his own copies!"^5^October 8, 2016
boredmama, ^1161265^1^1^"Bought for Grandson Happy with site to store."^5^February 9, 2013
Brutusoh, ^1161265^1^1^"Great books plus the prize was awesome. Cheaper than Target & Books A Million"^5^December 19, 2013
Mawgs, ^1161265^1^1^"My son is in the 2nd grade and loves this collection."^5^August 19, 2014
cfpooh, ^1161265^1^0^"My 7year old son was so excited to get this book. His reading class at school is beginning to introduce them to chapter books before the school year is out. And to our surprise, The Magic Tree House, was their choice of chapter books. These books are great! I strongly recommend them to any parent looking to start their child into chapter books."^5^April 5, 2013
MaryAnnNana, ^1161265^1^0^"My granddaughter love the books and has not put them down since we got them."^5^September 13, 2014
kp611, ^1161265^0^3^"I ordered it on a Monday and it arrived at the house on Wed....the 4 stores with in a 50 mile distance did not have this in stock. I was surprised at how quickly it arrived. I did not pay for extra shipping just standard. The arrival date when I ordered the set was a week and we got them in 2 days. Excellent shape. Sure my nephew will love them."^1^January 13, 2015
mrscranmer, ^1161265^0^3^"Love these books. My son hates to read but he loves these books anything that will get him to read is worth it to me. shipped it site to store when i went to pick up they couldnt find it but by the next day they had found them. great price too!!!!"^5^January 6, 2010
liketoshop24, ^16825648^3^0^"My grandson is kind of struggling in first grade with reading and so I bought this book and he is so excited and is trying to read it himself."^5^June 5, 2015
Jollycee, ^16825648^3^0^"Nice easy to read book that tells the story of spiderman from his beginning. Interesting read."^3^July 24, 2014
Nochoice, ^16825648^2^0^"Quick"^5^December 10, 2015
APRIL, ^16825648^1^1^"THIS BOOK IS EXACTLY WHAT I WAS EXPECTING AND THE PRICE WAS FANTASTIC. I THINK MY GRANDSON WILL LIKE IT."^5^December 16, 2015
