"reviewerID"^"productID"^"positiveVotes"^"negativeVotes"^"reviewText"^"ratingGiven"^"reviewTime"
auntbelindy, ^43770441^12^0^"Great coloring book of cats in different scenes. Beautiful tiffany lamp w/a cat sitting all dressed up in a big chair is one of the pictures. I was very pleased as I am a cat person. That's why I bought this book."^5^December 8, 2015
sportstercutie, ^43770441^10^0^"5+ This book is just simply awesome! The pics are very creative and sooooo detailed. If using the extra fine point sharpies or another coloring marker, they will bleed a little due to the small but defining art. I am so happy with this book!!! Even if you are not a cat lover, you won't be disappointed...."^5^December 31, 2015
Sherilyn, ^43770441^10^0^"I love this book, it has so many adorable pictures to color all different. Bought for gift for my grandchildren. I will have to order another one for me."^5^December 13, 2015
Methusela1, ^43770441^6^0^"This is a lovely way to create a custom 'Masterpiece',all your own. Each finished page could be framed upon completion and fiven as a gift. Very relaxing as well."^5^January 13, 2016
susanh580, ^43770441^5^0^"Super cute if you love cats!"^5^December 10, 2015
DotS, ^43770441^5^0^"I purchased 'Cats', an adult coloring book and I must say I am very pleased with
the book. The illustrations are beautiful and I'm glad I purchased it. I am enjoying coloring the first page of it. It's very relaxing and I can't say one negative thing about the book."^5^January 26, 2016
Wallaceshopper, ^43770441^4^0^"Purchased this one and a few others for granddaughter, daughter, daughter-in-law and MYSELF. They all seemed to love them. Both adults have stressful jobs so thought these would be a good idea. Can't wait to start coloring."^5^December 23, 2015
Tiff, ^43770441^4^0^"Excellent coloring book for an adult who likes cats and coloring!"^5^December 11, 2015
WalkitChic, ^43770441^3^0^"There are a lot of pictures to choose from. Some are a little overwhelming with all the small parts of the picture to color. But overall neat for my first color book"^4^January 9, 2016
Marlys, ^43770441^2^0^"I LOVE CATS!

I like the book and it doesn't cost as much as it did at Hobby Lobby
The pictures are very busy, but I don't mind and I spent 3 hours last night coloring one.
And it was shipped to my door - piece of cake!"^5^February 14, 2016
MeAndTheCat, ^43770441^2^0^"Lots and lots of beautiful cats. Decorated with all kinds of designs. If you are a cat lover, you will not be disappointed with this book. It is great! Hope you enjoy it as much as I do."^5^April 2, 2016
Rayetteq, ^43770441^1^0^"Love this coloring book. Great illustrations,quality paper and pages are perforated well. Have reccomended it to my coloring group.We meet every Tuesday and are always on the look out for good books,"^5^February 17, 2016
Grammy, ^43770441^1^0^"Bought this for a birthday gift. Maybe I'll buy another for myself. Nice artwork. Good quality paper."^5^March 7, 2016
janny, ^43770441^1^0^"High quality"^5^December 12, 2015
POPLINK, ^43770441^1^0^"Nice pictures well done. Good quality paper. Personally I wish there were
a bigger variety of cats w/ different looks / expressions.
Prompt shipment no damage."^5^March 10, 2016
jimmy, ^43770441^1^0^"enjoying"^5^December 21, 2015
John, ^44979555^1^0^"This is a fantastic set of postcards of Disney animated films. This package covers about 25 years of Disney's recent history, from 'The Little Mermaid' in 1989 to 'Big Hero 6' in 2014 (complete list of movies at the bottom of review).

Each card measures approximately 3.75 x 5.75 inches (9.5 x 14 cm). The front of each card features a piece of artwork from the film(s) The back is indeed in the style of a standard postcard, with a few lines for the address as well as a place for the postage stamp.

The art is absolutely fantastic, ranging from near-completed designs to the earliest character sketches. Much of the imagery should be very recognizable for fans of the Disney movies.

List of Movies (there are 10 postcards for each):
- Little Mermaid
- Beauty and the Beast
- Aladdin
- The Lion King
- Mulan
- Princess and the Frog
- Tangled
- Wreck-It Ralph
- Frozen
- Big Hero 6"^5^October 1, 2015
Kathleen701106, ^34443634^14^4^"My daughter loved the DVD. She watches it over and over. The price is great. If your child likes peppa pig I would recommend buying this DVD."^5^March 29, 2014
JMC2451, ^34443634^6^1^"My soon-to-be two-year old granddaughter loves this video--and so do I!"^5^July 28, 2014
ABA13, ^34443634^3^0^"Awesome"^5^April 9, 2014
HappyGrandmothertoo, ^34443634^2^0^"My grandkids are Peppa Pig fans and this DVD is a great tool to have to keep them quiet in the car or at home. I have several Peppa Pig DVD's so they have hours of different episodes."^5^January 3, 2015
Arwenn, ^34443634^1^0^"The shipping is fast. Just like any other dvds it wears out when repeatedly used. All in all its good and clear."^4^October 3, 2015
micant, ^34443634^1^0^"Best price. Fastest shipping"^5^July 28, 2014
LisaL123456, ^34443634^1^0^"I got this dvd for my kids because they are young and like the lower quality graphics this show is known for. It is very funny and I find myself watching it with them often."^5^October 18, 2014
MadTyp, ^34443634^1^0^"My granddaughter loves Peppa Pig. She will be very happy with this."^5^November 18, 2015
Crispy, ^34443634^1^0^"My granddaughter just love Peppa pig so any chance I get I buy her a DVD, I think their so cute!!!"^5^October 17, 2016
bbrenh, ^34443634^1^1^"kids loved it"^5^July 1, 2014
Wayne, ^34443634^0^1^"My granddaughter loves the pig."^5^July 24, 2016
techigrandma, ^42359049^1^0^"My 4 yr old grandson loved it!"^5^September 4, 2015
kitvexy, ^3552026^3^0^"Any fan of The Red Hot Chili Peppers will enjoy this entertaining memoir. I loved it!"^5^August 17, 2009
wyodez, ^53000570^3^0^"it's really cute, but it only has  a handful  of pages. like 12 i think. one side is a small quote then the other  a picture. but they are  very cute my 11 yr old loved it. but it is not one of those lots of design zentangle type books  it's a kids coloring book."^4^March 1, 2017
PaminNC, ^1747235^7^5^"Bought this for my 9 yr son who loves drawing and I think he will love this. It looks very easy to follow and graphics are great."^5^December 21, 2010
MORMOM, ^1747235^1^0^"I got 2 of these books for my 2 granddaughters (ges 11 and 6 years). The photos/drawings are simple and easy to follow. Great for beginnerdrawrs to develop their skills or existing artist to develop better pictures."^5^August 17, 2016
TRIP1LEXI, ^1747235^1^2^"I KNOW MY GRAND DAUGHTER WILL JUST LOVE THIS FOR A CHRISTMAS PRESENT!!"^5^December 8, 2015
ToniWoot, ^1747235^1^0^"This is a Christmas gift for my granddaughter. I think she'll love it."^5^December 13, 2016
dondada22, ^1747235^1^0^"Nice gift for an 11yr old"^3^December 26, 2016
Tanya, ^1747235^1^0^"My daughter loves to draw and this book has given her a better understanding to drawing techniques"^4^December 29, 2016
Sweetu12345, ^1747235^1^0^"My 5 year old son loves drawing & coloring. As he is still learning how to draw people I ordered this thinking it will help him. He is very happy with the book. They showed one side as a step by step how to draw other side as a practice sheet which is good. But the Sheet is very thin but you get what u paid for. So I don't have any complaints. Worth trying this book. Overal happy with purchase , more over my son is happy."^5^July 27, 2016
Debbie, ^42078054^4^0^"Pleased to receive this in excellent condition. I will definitely recommend this site to my friends"^5^October 12, 2015
ChristinaS413, ^42078054^3^0^"got this gift for my sister who likes anime and likes to draw, she loved it i highly recommend it."^5^December 23, 2016
GooberLips, ^42078054^2^0^"I bought it for my daughter who loves to draw and is getting into anime"^5^December 3, 2016
Brenda, ^2627900^0^7^"I Love it!!!!!"^2^March 20, 2017
Lemonkitten, ^22704464^23^0^"I love all the plays and movies by Tyler Perry!!! Thank you for your works!! :-)"^5^February 19, 2013
sweett234, ^22704464^5^0^"Before you look at the play make sure you do not have to get up for anything. Madea and the others will keep you laughing. I already knew it was going to be funny, because I seen the christmas play."^5^April 17, 2013
Cloie8, ^22704464^4^1^"The best Play I have watched. Very informative and interesting."^5^February 11, 2013
ruenviro, ^22704464^3^2^"This is not a typical Tyler Perry (Madea) movie. I could not watch the entire play. I love Madea movies but this was a waste of money in my book."^2^March 6, 2013
Street58, ^22704464^3^0^"I enjoy good movies and i love Tyler Perry. He always have a message to the people with his movies and on-stage shows. I will always purchases any of his movies. Thank you walmart for carrying his movies."^5^April 11, 2013
SassyStepper, ^22704464^2^0^"Super funny Tyler has done it again! I loved the suprise at the end of the show."^5^April 5, 2013
Mrs305, ^22704464^2^0^"TP has out done his self on this play I love the extras at the end with the singing... I'm a huge fun and supporter of TP..."^4^April 6, 2013
BigEG, ^22704464^2^0^"Absolutely one of Tyler's greatest plays with Madea and Hattie together,and then the concert at the end was a nice surprise."^5^October 15, 2013
Baccarat1, ^22704464^1^0^"Excellent product. No cost to ship to store."^5^May 27, 2014
mex01, ^22704464^1^0^"Love this stage show. Very funny and the singing is great."^5^January 14, 2014
breemissy, ^22704464^1^0^"the singing is out of this world. It is real funny, makes you realize right and wrong behavior"^5^May 27, 2014
bigFaye, ^22704464^1^0^"I love this mover"^5^February 16, 2015
DazzlinDeeva, ^22704464^1^0^"I love Tyler Perry!!! Madea Gets A Job had me laughing so hard! I can;t wait to add this movie to my collection of Tyler Perry DVD's and watch the movie again!!"^5^March 13, 2013
bettyboop53, ^22704464^1^0^"Tyler Perry does what he does best - make you laugh. Even the cast was laughing at themselves! Excellent actors and the mini-concert at the end was outstanding! Tyler Perry can sing!"^5^December 7, 2013
10MLSS, ^22704464^0^1^"I was expecting a movie format not a play format."^1^July 24, 2014
lynn5612, ^22704464^0^1^"Hated it! will never buy another play!!!!"^1^August 13, 2014
Maranara, ^35091845^125^8^"Has the following episodes on it: Pups save the sea turtles, Pups and the very big baby,pups and the kitty-tastrophe, pups save a train, pup pup boogle, pups in a fog, pup pup goose, pup pup and away, pups save the circus and pup a doodle do."^5^May 13, 2014
lc44, ^35091845^15^2^"Bought for 2 yr old nephew and he loved it. Apparently Paw Patrol is very popular with the little ones. Won't be sorry you bought it."^5^June 16, 2014
salemcheese, ^35091845^10^2^"My grandson has started watching Paw Patrol and he really enjoyed the rescue puppies and their adventures. It also teaches good values for kids and also teaches about the world around us."^5^June 8, 2014
egore78, ^35091845^8^4^"delivered at reassonable time"^4^May 14, 2014
Alli, ^35091845^3^1^"Perfect for a road trip or when Paw Patrol is being requested and it's not on TV!"^5^December 31, 2015
chanel2681, ^35091845^3^0^"My 3 year olds favorite dvd"^5^November 5, 2014
Joanie, ^35091845^2^0^"Quality of the video are excellent and my granddaughter loves this show."^5^May 1, 2016
DomesticGoddessGrizzy, ^35091845^2^0^"My daughter loves paw patrol... I ordered this video online took 3 weeks to receive but worth it for my daughter"^4^October 7, 2014
mommyandproudarmywife, ^35091845^2^1^"My son was already watching this on TV in the mornings. So I got it for him as a birthday gift, he was so excited and now can watch it anytime."^5^June 4, 2014
^35091845^2^0^"It a cute cartoon, for dog lovers and no lovers as well!!!"^5^June 27, 2014
OzRock, ^35091845^2^0^"My 4 yr old enjoyed it."^3^December 16, 2016
MommyofLili, ^35091845^1^0^"My three year old loves Paw Patrol..... nothing more to say. She wanted it so I bought it. Worth every nickel!"^5^May 25, 2014
